Date,Open,High,Low,Close,Adj Close,Volume,12-day EMA,26-day EMA,MACD line,Signal line,MACD histogram,Up,Down,SMA Up,SMA Down,RS,RSI
10/26/2015,17649.57031,17660.69922,17602.50977,17623.05078,17623.05078,116660000,17256.46391,16903.20891,353.2549991,,,0,23.648438,80.39634493,20.90625007,3.845565066,79.36257203
10/27/2015,17608.89063,17635.17969,17540.57031,17581.42969,17581.42969,113960000,17306.45865,16953.44749,353.011158,,,0,41.621093,71.67494421,23.87918529,3.00156573,75.00978198
10/28/2015,17586.68945,17779.94922,17556.71094,17779.51953,17779.51953,115630000,17379.23724,17014.63801,364.599234,,,198.089843,0,75.93415179,23.87918529,3.179930591,76.07615777
10/29/2015,17771.5,17786,17684.7207,17755.80078,17755.80078,90300000,17437.1701,17069.53896,367.6311399,341.4575703,26.17356959,0,23.71875,73.52413507,25.57338171,2.875025911,74.19372095
10/30/2015,17756.59961,17799.96094,17662.86914,17663.53906,17663.53906,149250000,17471.99609,17113.53896,358.4571269,344.8574816,13.59964531,0,92.261718,70.140625,32.16350443,2.18075195,68.56089328
11/2/2015,17672.61914,17845.90039,17655.01953,17828.75977,17828.75977,100840000,17526.88281,17166.51828,360.3645275,347.9588908,12.40563673,165.220703,0,81.94210379,28.594308,2.865678854,74.1313224
11/3/2015,17819.74023,17977.84961,17796.01953,17918.15039,17918.15039,92290000,17587.07782,17222.19473,364.8830875,351.3437301,13.53935738,89.390625,0,88.32714843,17.36997764,5.085046754,83.56627253
11/4/2015,17929.58008,17964.11914,17828.83008,17867.58008,17867.58008,99890000,17630.23202,17270.00106,360.230959,353.1211759,7.109783075,0,50.570313,72.82714843,20.98214286,3.470910904,77.63319329
11/5/2015,17871.25,17929.50977,17779.18945,17863.42969,17863.42969,98910000,17666.10858,17313.95873,352.1498476,352.9269102,-0.777062664,0,4.15039,67.52566964,21.27859929,3.173407645,76.03876532
11/6/2015,17855.2207,17912.03906,17768.59961,17910.33008,17910.33008,107450000,17703.68112,17358.13439,345.5467305,351.4508743,-5.904143822,46.90039,0,69.83510036,21.27859929,3.281940668,76.64610331
11/9/2015,17900.7793,17900.7793,17667.7793,17730.48047,17730.48047,121210000,17707.8041,17385.71558,322.0885163,345.5784027,-23.48988641,0,179.849609,69.83510036,33.1657365,2.105639968,67.80051744
11/10/2015,17724.13086,17768.66016,17657.7207,17758.21094,17758.21094,108640000,17715.55899,17413.30783,302.2511663,336.9129554,-34.66178909,27.730469,0,71.81584814,29.70145079,2.417923914,70.74247335
11/11/2015,17769.5,17807.17969,17696.91016,17702.2207,17702.2207,95230000,17713.50695,17434.70878,278.7981678,325.2899979,-46.4918301,0,55.990235,48.91936379,33.70075329,1.451580722,59.20999088
11/12/2015,17691.92969,17691.92969,17443.5,17448.07031,17448.07031,113660000,17672.67054,17435.69852,236.9720191,307.6264021,-70.65438302,0,254.15039,37.66657357,51.85435257,0.726391743,42.07571927
11/13/2015,17439.25,17439.25,17238.89063,17245.24023,17245.24023,134640000,17606.91203,17421.5905,185.3215314,283.165428,-97.84389656,0,202.830079,37.66657357,64.65304121,0.582595542,36.81266163
11/16/2015,17229.93945,17483.00977,17210.42969,17483.00977,17483.00977,137590000,17587.85015,17426.14008,161.7100689,258.8743562,-97.16428726,237.769532,0,54.65011157,61.680106,0.88602493,46.9784315
11/17/2015,17486.99023,17599.33008,17451.41016,17489.5,17489.5,167190000,17572.71936,17430.83341,141.8859495,235.4766748,-93.59072533,6.490234,0,40.96442521,61.680106,0.664143236,39.90901876
11/18/2015,17485.49023,17752.16016,17485.49023,17737.16016,17737.16016,106810000,17598.01794,17453.52428,144.4936638,217.2800726,-72.7864088,247.660156,0,58.65443636,59.98590957,0.977803567,49.43886154
11/19/2015,17739.83008,17772.9707,17681.98047,17732.75,17732.75,114630000,17618.74595,17474.20766,144.5382861,202.7317153,-58.19342922,0,4.410156,58.65443636,53.710798,1.092041797,52.19980779
11/20/2015,17732.75,17914.33984,17732.75,17823.81055,17823.81055,153140000,17650.29435,17500.10417,150.1901758,192.2234074,-42.03323159,91.060547,0,53.35728236,53.710798,0.993418164,49.83491081
11/23/2015,17823.60938,17868.17969,17751.5293,17792.67969,17792.67969,134680000,17672.19979,17521.77643,150.4233523,183.8633964,-33.44004414,0,31.130859,46.97223771,55.93443079,0.839773232,45.64547507
11/24/2015,17770.90039,17862.59961,17683.50977,17812.18945,17812.18945,127170000,17693.73666,17543.28851,150.4481486,177.1803468,-26.73219822,19.509765,0,48.36579236,52.32226557,0.924382609,48.03528179
11/25/2015,17820.81055,17854.91992,17801.83008,17813.39063,17813.39063,82540000,17712.14496,17563.29607,148.8488872,171.5140549,-22.66516775,1.201172,0,48.45159036,52.02580914,0.931299122,48.22138172
11/27/2015,17806.03906,17830.35938,17749.32031,17813.39063,17813.39063,82540000,17727.72122,17581.8216,145.8996209,166.3911681,-20.4915472,0,0,45.1015625,52.02580914,0.866907468,46.4354813
11/30/2015,17802.83984,17837.24023,17719.78906,17719.91992,17719.91992,155560000,17726.52102,17592.0511,134.4699161,160.0069177,-25.5370016,0,93.470703,45.1015625,45.85588729,0.983550099,49.58534194
