Date,Open,High,Low,Close,Adj Close,Volume,12-day EMA,26-day EMA,MACD line,Signal line,MACD histogram,Up,Down,SMA Up,SMA Down,RS,RSI
9/11/2015,27.9475,28.5525,27.940001,28.5525,26.3858,199662000,,,,,,,,,,,
9/14/2015,29.145,29.2225,28.715,28.827499,26.6399,233453600,,,,,,0.2541,0,,,,
9/15/2015,28.9825,29.1325,28.605,29.07,26.864,173364800,,,,,,0.2241,0,,,,
9/16/2015,29.0625,29.135,28.860001,29.102501,26.894,148694000,,,,,,0.03,0,,,,
9/17/2015,28.915001,29.122499,28.43,28.48,26.3188,256450400,,,,,,0,0.5753,,,,
9/18/2015,28.0525,28.575001,27.967501,28.362499,26.2102,297141200,,,,,,0,0.1086,,,,
9/21/2015,28.4175,28.842501,28.415001,28.8025,26.6168,200888000,,,,,,0.4066,0,,,,
9/22/2015,28.344999,28.545,28.129999,28.35,26.1986,201384800,,,,,,0,0.4182,,,,
9/23/2015,28.407499,28.68,28.325001,28.58,26.4112,143026800,,,,,,0.2125,0,,,,
9/24/2015,28.3125,28.875,28.092501,28.75,26.5683,200878000,,,,,,0.1571,0,,,,
9/25/2015,29.110001,29.172501,28.504999,28.6775,26.5013,224607600,,,,,,0,0.067,,,,
9/28/2015,28.4625,28.6425,28.110001,28.110001,25.9768,208436000,26.4655,,,,,0,0.5244,,,,
9/29/2015,28.2075,28.377501,26.965,27.264999,25.196,293461600,26.2702,,,,,0,0.7809,,,,
9/30/2015,27.5425,27.885,27.182501,27.575001,25.4824,265892000,26.149,,,,,0.2865,0,,,,
10/1/2015,27.2675,27.405001,26.827499,27.395,25.3161,255716400,26.0208,,,,,0,0.1663,0.112207143,0.188621429,0.594880145,37.29936366
10/2/2015,27.002501,27.752501,26.887501,27.594999,25.5009,232079200,25.9409,,,,,0.1848,0,0.107257143,0.188621429,0.568637104,36.25039229
10/5/2015,27.469999,27.842501,27.2675,27.695,25.5933,208258800,25.8874,,,,,0.0924,0,0.09785,0.188621429,0.518763964,34.15698399
10/6/2015,27.657499,27.934999,27.442499,27.827499,25.7158,192787200,25.861,,,,,0.1224,0,0.10445,0.188621429,0.553754686,35.63977577
10/7/2015,27.934999,27.942499,27.352501,27.695,25.5933,187062400,25.8198,,,,,0,0.1224,0.10445,0.156271429,0.668388335,40.06191611
10/8/2015,27.547501,27.547501,27.0525,27.375,25.2976,247918400,25.7395,,,,,0,0.2957,0.10445,0.169635714,0.615731189,38.10851663
10/9/2015,27.5,28.07,27.372499,28.030001,25.9029,211064400,25.7646,,,,,0.6053,0,0.118642857,0.169635714,0.699397869,41.15562824
10/12/2015,28.182501,28.1875,27.860001,27.9,25.7828,121868800,25.7674,,,,,0,0.1201,0.118642857,0.148342857,0.799788136,44.43790465
10/13/2015,27.705,28.112499,27.67,27.9475,25.8267,132197200,25.7765,,,,,0.0439,0,0.1066,0.148342857,0.718605547,41.81329149
10/14/2015,27.8225,27.879999,27.389999,27.5525,25.4617,177849600,25.7281,,,,,0,0.365,0.095378571,0.174414286,0.546850684,35.35251913
10/15/2015,27.7325,28.025,27.622499,27.965,25.8429,150694000,25.7457,,,,,0.3812,0,0.122607143,0.169628571,0.722797709,41.95487987
10/16/2015,27.945,28,27.6325,27.76,25.6534,156930400,25.7315,25.9904,-0.2589,,,0,0.1894,0.122607143,0.1457,0.841504069,45.69656311
10/19/2015,27.700001,27.9375,27.5275,27.932501,25.8128,119036800,25.744,25.9773,-0.2332,,,0.1594,0,0.133992857,0.089921429,1.490110414,59.84113819
10/20/2015,27.834999,28.5425,27.705,28.442499,26.2841,195871200,25.8271,26,-0.1729,,,0.4713,0,0.147192857,0.089921429,1.636905235,62.07675624
10/21/2015,28.5,28.895,28.424999,28.440001,26.2818,167180800,25.8971,26.0209,-0.1238,,,0,0.0023,0.147192857,0.078207143,1.882089689,65.30295348
10/22/2015,28.5825,28.875,28.525,28.875,26.6838,166616400,26.0181,26.07,-0.0519,,,0.402,0,0.162707143,0.078207143,2.080463969,67.53735769
10/23/2015,29.174999,29.807501,29.0825,29.77,27.5109,237467600,26.2478,26.1767,0.071,,,0.8271,0,0.215185714,0.078207143,2.751484154,73.34388314
10/26/2015,29.52,29.532499,28.73,28.82,26.633,265335200,26.307,26.2105,0.0965,,,0,0.8779,0.206442857,0.140914286,1.465024331,59.43244911
10/27/2015,28.85,29.135,28.497499,28.637501,26.4643,279537600,26.3312,26.2293,0.1019,,,0,0.1687,0.206442857,0.144221429,1.431429845,58.87193694
10/28/2015,29.2325,29.825001,29.014999,29.817499,27.5548,342205600,26.5195,26.3275,0.192,-0.0421,0.2341,1.0905,0,0.284335714,0.1231,2.309794592,69.78664469
10/29/2015,29.674999,30.172501,29.567499,30.1325,27.8459,204909200,26.7235,26.44,0.2836,0.023,0.2606,0.2911,0,0.261892857,0.1231,2.127480562,68.0253808
10/30/2015,30.247499,30.305,29.862499,29.875,27.6079,197461200,26.8596,26.5265,0.3331,0.085,0.2481,0,0.238,0.261892857,0.131521429,1.991256178,66.56922909
11/2/2015,30.200001,30.34,29.9025,30.295,27.996,128813200,27.0344,26.6353,0.3991,0.1478,0.2513,0.3881,0,0.286478571,0.131521429,2.178189323,68.5355434
11/3/2015,30.1975,30.872499,30.174999,30.6425,28.3172,182076000,27.2318,26.7599,0.4718,0.2126,0.2592,0.3211,0,0.309414286,0.10545,2.934227461,74.58204921
11/4/2015,30.782499,30.955,30.405001,30.5,28.1855,179544400,27.3785,26.8655,0.513,0.2727,0.2403,0,0.1317,0.282185714,0.114857143,2.456840796,71.07185262
11/5/2015,30.4625,30.672501,30.045,30.23,28.0555,158210800,27.4827,26.9537,0.529,0.324,0.205,0,0.1299,0.282185714,0.110607143,2.551243139,71.84084668
